Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"SA4 (UR), AGE5P - Age in Five Year Groups, SEXP Sex, INGP Indigenous Status, HEAP Level of Highest Educational Attainment and LFSP Labour Force Status"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","SA4 (UR)","AGE5P - Age in Five Year Groups","SEXP Sex","INGP Indigenous Status","HEAP Level of Highest Educational Attainment","LFSP Labour Force Status","Count",
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","ATSI (any)","Degree-level or higher","Employed, any",9
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",118
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",20
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","Non-Indigenous","Degree-level or higher","Employed, any",596
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","Non-Indigenous","Degree-level or higher","Unemployed, any",32
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",3389
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","Non-Indigenous","Lower than degree-level or NA/NS/SC","Unemployed, any",212
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","Not stated","Degree-level or higher","Employed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","Not stated","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Employed, any",22
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Male","Not stated","Lower than degree-level or NA/NS/SC","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","ATSI (any)","Degree-level or higher","Employed, any",21
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","ATSI (any)","Degree-level or higher","Unemployed, any",0
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Employed, any",90
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","ATSI (any)","Lower than degree-level or NA/NS/SC","Unemployed, any",28
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","Non-Indigenous","Degree-level or higher","Employed, any",1138
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","Non-Indigenous","Degree-level or higher","Unemployed, any",39
"Persons Aged 15 Years and Over Place of Work","Capital Region","25-29 years","Female","Non-Indigenous","Lower than degree-level or NA/NS/SC","Employed, any",2468
