state,sa4,age,sex,atsi,education,lfs,count,areasqkm_2016,population,density
New South Wales,Capital Region,25-29 years,Male,ATSI (any),Degree-level or higher,"Employed, any",9,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",118,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",20,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",596,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",32,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3389,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",212,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,Not stated,Degree-level or higher,"Employed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",22,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,ATSI (any),Degree-level or higher,"Employed, any",21,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",90,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",28,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1138,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",39,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",2468,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",153,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,Not stated,Degree-level or higher,"Employed, any",5,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",19,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,25-29 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,ATSI (any),Degree-level or higher,"Employed, any",8,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",107,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",19,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",898,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",25,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3447,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",165,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,Not stated,Degree-level or higher,"Employed, any",3,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",35,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",6,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,ATSI (any),Degree-level or higher,"Employed, any",20,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",105,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",14,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1442,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",47,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",2511,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",144,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,Not stated,Degree-level or higher,"Employed, any",8,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",18,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,30-34 years,Female,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,ATSI (any),Degree-level or higher,"Employed, any",8,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",100,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",20,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,Non-Indigenous,Degree-level or higher,"Employed, any",900,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,Non-Indigenous,Degree-level or higher,"Unemployed, any",23,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",3363,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Unemployed, any",141,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,Not stated,Degree-level or higher,"Employed, any",10,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,Not stated,Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Employed, any",20,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Male,Not stated,Lower than degree-level or NA/NS/SC,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,ATSI (any),Degree-level or higher,"Employed, any",18,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,ATSI (any),Degree-level or higher,"Unemployed, any",0,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Employed, any",84,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,ATSI (any),Lower than degree-level or NA/NS/SC,"Unemployed, any",15,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,Non-Indigenous,Degree-level or higher,"Employed, any",1579,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,Non-Indigenous,Degree-level or higher,"Unemployed, any",30,51895.5631,218842,4.216969369391041
New South Wales,Capital Region,35-39 years,Female,Non-Indigenous,Lower than degree-level or NA/NS/SC,"Employed, any",2653,51895.5631,218842,4.216969369391041
